,Title,Published_date,Views,Comments,Month
98,5 Productivity Tips For all Programmers 🔥,2023-11-03,61531,197,Nov
99,CSS Exercise 5 - Design this Layout | Sigma Web Development Course - Tutorial #37,2023-11-02,49206,1552,Nov
100,A New Icon Library for your Web Development Projects 🔥,2023-11-02,22195,123,Nov
101,Exercise 4 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #36,2023-11-01,42081,375,Nov
102,More on CSS Selectors | Sigma Web Development Course - Tutorial #35,2023-10-31,49143,938,Oct
103,Build an AI Chatbot on your Custom Data 🔥,2023-10-31,103231,181,Oct
104,This AI Website Builder Blew My Mind 🤯,2023-10-30,32349,202,Oct
105,CSS Float & Clear | Sigma Web Development Course - Tutorial #34,2023-10-29,53235,1160,Oct
106,Exercise 4 - Multi Color Website | Sigma Web Development Course - Tutorial #33,2023-10-28,53166,1938,Oct
107,Exercise 3 - Solution | Sigma Web Development Course - Tutorial #32,2023-10-27,58879,498,Oct
108,CSS Media Queries | Sigma Web Development Course - Tutorial #31,2023-10-26,68809,774,Oct
109,CSS Variables | Sigma Web Development Course - Tutorial #30,2023-10-25,68711,802,Oct
110,Exercise 3 - Design this Card  | Sigma Web Development Course - Tutorial #29,2023-10-24,73379,3285,Oct
111,CSS Position Property | Sigma Web Development Course - Tutorial #28,2023-10-23,87877,1009,Oct
112,Best WordPress Hosting for 2023 & Beyond 🔥,2023-10-23,29088,195,Oct
113,Exercise 2 - Solutions and Shoutouts | Sigma Web Development Course - Tutorial #27,2023-10-22,52736,458,Oct
114,CSS Overflow Property | Sigma Web Development Course - Tutorial #26,2023-10-21,60255,959,Oct
115,Styling Lists using CSS | Sigma Web Development Course - Tutorial #25,2023-10-20,64458,1397,Oct
116,CSS Shadows and Outlines | Sigma Web Development Course - Tutorial #24,2023-10-19,69763,1831,Oct
117,CSS Display Property | Sigma Web Development Course - Tutorial #23,2023-10-18,76212,1093,Oct
118,"CSS Sizing Units - px, rem, em, vh, vw, % & more | Sigma Web Development Course - Tutorial #22",2023-10-17,97090,1288,Oct
119,Money Making Machine 🔥,2023-10-17,242871,125,Oct
120,CSS Specificity & Cascade | Sigma Web Development Course - Tutorial #21,2023-10-16,96476,1912,Oct
121,Exercise 2 - CSS Challenge | Sigma Web Development Course - Tutorial #20,2023-10-15,80871,5772,Oct
122,Python Project: Uploading files to S3 Compatible Storage using Python 🔥,2023-10-15,17732,75,Oct
123,"CSS Fonts, Text & Color Properties | Sigma Web Development Course - Tutorial #19",2023-10-14,110821,1787,Oct
124,"CSS Box Model - Margin, Padding & Borders | Sigma Web Development Course - Tutorial #18",2023-10-13,112479,2452,Oct
125,Wazuh: An Easy Cybersecurity tool for Beginners 🔥,2023-10-13,19879,103,Oct
126,CSS Selectors MasterClass | Sigma Web Development Course - Tutorial #17,2023-10-12,117630,1586,Oct
127,"Q&A Search with LangChain, CassIO & AstraDB 🔥",2023-10-12,11201,80,Oct
128,Exercise 1 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #16,2023-10-11,84905,725,Oct
129,OpenAI Whisper Tutorial + Audio to Text Translator Website Project 🔥,2023-10-11,29015,71,Oct
130,"Inline, Internal & External CSS | Sigma Web Development Course - Tutorial #15",2023-10-10,89056,1485,Oct
131,Free Coding AI for Everyone🔥,2023-10-10,275982,161,Oct
132,Introduction to CSS | Sigma Web Development Course - Tutorial #14,2023-10-09,109592,2184,Oct
133,"Entities, Code tag and more on HTML | Sigma Web Development Course - Tutorial #13",2023-10-08,104541,1592,Oct
134,Exercise 1 - Pure HTML Media Player | Sigma Web Development Course - Tutorial #12,2023-10-07,109252,4420,Oct
135,Semantic Tags  in HTML | Sigma Web Development Course - Tutorial #11,2023-10-06,117646,1255,Oct
136,"Video, Audio & Media in HTML | Sigma Web Development Course - Tutorial #10",2023-10-05,154965,2820,Oct
137,How to Make Money With AI and Machine Learning (This works) 🔥,2023-10-05,150968,415,Oct
138,Id & Classes in HTML | Sigma Web Development Course - Tutorial #9,2023-10-04,120518,1898,Oct
139,Inline & Block Elements in HTML | Sigma Web Development Course - Tutorial #8,2023-10-03,142250,4215,Oct
140,Is DPN the new VPN? | Deeper Connect Air Unboxing and First Look 🔥,2023-10-03,91162,289,Oct
141,Forms and input tags in HTML | Sigma Web Development Course - Tutorial #7,2023-10-02,184863,3804,Oct
142,SEO and Core Web Vitals in HTML | Sigma Web Development Course - Tutorial #6,2023-10-01,209767,2779,Oct
143,"Image, Lists, and Tables in HTML | Sigma Web Development Course - Tutorial #5",2023-09-30,254806,5007,Sep
144,AI + Graphic Designing = Money ₹₹₹₹  🔥,2023-09-30,40646,297,Sep
145,"Heading, Paragraphs and Links | Sigma Web Development Course - Tutorial #4",2023-09-29,258443,4058,Sep
146,Basic Structure of an HTML Website | Sigma Web Development Course - Tutorial #3,2023-09-28,299666,4647,Sep
147,Your First HTML Website | Sigma Web Development Course - Tutorial #2,2023-09-27,480646,15386,Sep
148,Installing VS Code & How Websites Work | Sigma Web Development Course - Tutorial #1,2023-09-26,991441,19372,Sep
149,5 JavaScript Mistakes Every Beginner Must Avoid 🔥,2023-09-25,171399,520,Sep
150,Lets Build Dropbox Clone in 5 Minutes using FileCloud 🔥,2023-09-23,17797,142,Sep
151,Lets Build an AI Voice Assisted  Using ChatGPT API | ChatGPT API Tutorial | Generative AI Series 🔥,2023-09-21,80105,268,Sep
152,Sigma Web Development Course - Coming Soon 🔥,2023-09-18,105804,1664,Sep
153,How Python Works 🐍,2023-09-17,158751,115,Sep
154,"Let's Build an Email Validator with HTML, CSS, and JavaScript 🔥",2023-09-15,56529,228,Sep
155,VS Code Server Preview Trick on Mobile! 📱,2023-09-14,171109,133,Sep
156,The Best Language for DSA 👨‍💻,2023-09-13,260806,398,Sep
157,Windows Vs Linux Vs Mac for Coding 💻,2023-09-12,172381,190,Sep
158,HTML/CSS/JavaScript vs Frameworks,2023-09-11,151422,81,Sep
159,"How to install, setup, and use phpMyAdmin with MySQL on Linux 🔥",2023-09-10,15951,154,Sep
160,Naukri Engineer’s Week! 🚀,2023-09-09,94993,80,Sep
161,5 Effective Tips to Learn Python Fast (Pro Hacks)🔥,2023-09-05,258694,557,Sep
162,"Lets build a Password Manager using HTML, CSS and JavaScript (Use it!)",2023-09-04,62391,232,Sep
163,How to use VS Code in an Android Phone (Updated Video),2023-09-03,157299,927,Sep
164,Amazing ChatGPT Trick 🔥,2023-09-02,555707,358,Sep
165,💰 Money Saving trick 99% people don't know 💲,2023-09-01,353016,236,Sep
166,Quick Gmail Trick 🔥,2023-08-27,910076,425,Aug
167,Quick VS Code Trick 🔥,2023-08-26,77900,65,Aug
168,Installing Ubuntu GUI Desktop on a Linux VPS on Linode 🔥,2023-08-26,26334,203,Aug
169,Best AI Tool for Images 🔥,2023-08-25,67027,30,Aug
170,"₹19,000 PC Build for Developers: Amazon Order, Unboxing, and Analysis (Unbelievable!)",2023-08-24,233743,642,Aug
171,The Android Developer Roadmap for 2023 (Right Way) 🔥,2023-08-23,263381,964,Aug
172,"[Project] Build Your Own Currency Converter: A Step-by-Step Guide using HTML, CSS, and JavaScript",2023-08-22,49486,188,Aug
173,Kickstart your AI/ML journey with AWS,2023-08-21,64593,266,Aug
174,Creating an Article Generator Website using Langchain and OpenAI | Generative AI Series 🔥,2023-08-19,25019,105,Aug
175,Avoid Buying Older MacBooks - Here's Why! 💻,2023-08-18,25048,194,Aug
176,Microsoft Owns Everything 👨‍💻👨‍💻,2023-08-17,333585,295,Aug
177,Copy Paste like a Pro!,2023-08-16,239247,182,Aug
178,New Operating System for India 🔥,2023-08-15,133706,176,Aug
179,FrontEnd Development is Dead? ☠️☠️,2023-08-14,170120,130,Aug
180,Copied Projects in your Resume ⚠️⚠️,2023-08-13,113418,62,Aug
181,ChatGPT Passed Turing Test 😵😵,2023-08-12,74530,48,Aug
182,SSH Key based Authentication on Linux servers 🔥,2023-08-10,23655,231,Aug
183,Amazing Cheatsheet Website!,2023-08-08,146462,64,Aug
184,Fastest Way to Make Money from Web Development 🤑💰,2023-08-05,312091,960,Aug
185,LangChain Tutorial for Beginners | Generative AI Series 🔥,2023-08-04,98494,313,Aug
186,Use AI to your Advantage 😈,2023-08-02,145138,104,Aug
187,This AI Website Builder Creates Websites in Few Seconds 🔥,2023-08-01,115608,594,Aug
188,Prank using Python!,2023-07-30,186938,102,Jul
189,First Programming Language!,2023-07-29,612266,672,Jul
190,Bet you don't know this VS Code Trick 🔥,2023-07-27,67067,45,Jul
191,How to Install Windows on a Linux VPS (3GBPS Internet) 🔥,2023-07-27,25449,193,Jul
192,End of StackOverflow?,2023-07-26,82859,104,Jul
193,A VPN Replacement Programmers should know about! (Secure Next.js & more) 🔥,2023-07-26,16125,212,Jul
194,console.log of CSS 🔥,2023-07-25,136799,180,Jul
195,Is DSA Dead? 😵😵,2023-07-24,125528,109,Jul
196,Dont Make This Coding Mistake ❌❌,2023-07-23,138137,101,Jul
197,How to Confuse a Python Developer - Part 2 👨‍💻,2023-07-22,117287,80,Jul
198,Learn to Push Your Code to GitHub in 10 Minutes (Beginner Video) 🔥,2023-07-22,336845,411,Jul
199,DeepFake on Windows is now so easy! (This is Scary Artificial Intelligence) 🔥,2023-07-18,256133,526,Jul
200,Buying a Macbook? Lets talk about it! 💻,2023-07-16,237839,726,Jul
201,Top PC Builds for 2023 (You wont regret building these) 💻,2023-07-15,63537,353,Jul
202,5 Mind Blowing AI Tools You Wont Believe Existed (Use These) 🔥,2023-07-09,282764,3202,Jul
203,Best Laptops to buy in 2023 (Buy these) 🔥 💻,2023-07-08,471372,1103,Jul
204,How to Actually Get a Job in Web Development (Get Hired) 👨‍💻,2023-07-07,434204,1493,Jul
205,AWS Builders Online Series: Level up your Cloud Skills with AWS 🔥,2023-07-06,40573,173,Jul
206,How to Adapt ChatGPT's Impact on Your Coding Journey 👩‍💻👨‍💻,2023-07-06,84249,277,Jul
207,AI Workflow Automation | Automate all your tasks with this tool 🔥🔥,2023-07-05,22260,81,Jul
208,Linux Cronjob Tutorial | Learn Linux Cronjobs 🔥,2023-07-03,25879,129,Jul
209,MongoDB for Data Professionals | Data Analysis Tools in MongoDB 🔥,2023-07-02,18804,94,Jul
210,Creating a Meme Coin Using Starton 🔥,2023-07-01,18656,142,Jul
211,Lets Build a Stock Management System in using MongoDB 🍃 and Next.js 🔥,2023-06-30,63786,190,Jun
212,A Dream Gadget for all Coders 😍😍😍,2023-06-29,105479,401,Jun
213,50 Linux Commands Every Developer Must Know 🔥,2023-06-27,151881,219,Jun
214,"UltraEdit Review: A powerful, flexible, and highly configurable text editing tool🔥",2023-06-25,18881,128,Jun
215,HarryGPT - An AI Based Discord Bot 🔥 | Generative AI Series,2023-06-24,102509,262,Jun
216,Web Scraping using Scrapy | Scrapy Tutorial + Storing Data to MongoDB 🍃,2023-06-21,31994,149,Jun
217,"Lets Build a Dall-E Image Generator Using OpenAI, Flask & Replit | Generative AI Series 🔥",2023-06-19,68774,238,Jun
218,Enabling HTTPS on Linode Using Certbot - A Step-by-Step Guide 🔥,2023-06-16,16653,112,Jun
219,"Lets Build a Blog Using Appwrite Cloud, Next.js and Tailwind CSS - Step by Step Tutorial 🔥",2023-06-14,24087,153,Jun
220,"Improving our Portfolio Website using HTML, CSS, JavaScript and React 🔥",2023-06-13,122641,258,Jun
221,Clone any Audio using AI with this free tool (For Free) 🔥,2023-06-08,194314,302,Jun
222,This Free AI Image generator will blow your mind!,2023-06-07,772872,498,Jun
223,"Extracting Product Data from E-Commerce Website using Python, Requests and Live Proxies",2023-06-05,26780,146,Jun
224,"How to Host a Flask App on Linode for Production using uWSGI, Nginx & Ubuntu | Step-by-Step Tutorial",2023-06-04,14588,94,Jun
225,Making money in Cybersecurity 💰,2023-06-04,139595,124,Jun
226,How to Generate an NFT Collection using AI via Starton API?,2023-06-02,21562,165,Jun
227,"FastAPI Tutorial in Hindi | Lets build a Notes app using FastAPI, MongoDB & Bootstrap 🔥",2023-05-31,76490,167,May
228,Hidden VS Code Feature 🔥,2023-05-28,121588,76,May
229,Is Python really dead?? (The real truth) ☠️,2023-05-27,304819,800,May
230,"Python Project: Creating a GUI Downloader Using Python, Requests and Tkinter 🔥",2023-05-25,27624,172,May
231,Your Browser is not Secure! (Here's Why),2023-05-21,103871,470,May
232,"Personal Portfolio website using HTML, CSS and JavaScript (from scratch) 🔥",2023-05-19,700855,744,May
233,"ChatGPT Clone using OpenAI, Flask, HTML, TailwindCSS, & MongoDB (Amazing Frontend Project) 🔥🔥",2023-05-17,112486,341,May
234,Animate your Drawings (Killer AI) 🔥,2023-05-15,110489,88,May
235,J.A.R.V.I.S - OpenAI + Python  Powered AI Desktop Assistant that Talks Like a Human (FROM SCRATCH!),2023-05-14,555870,1287,May
236,Web Scraping Tutorial Using Python | BeautifulSoup Tutorial 🔥,2023-05-12,116578,235,May
237,MongoDB Tutorial in 1 Hour (2023) 🍃,2023-05-10,384088,595,May
238,I Created this website using Pure Python | Anvil Tutorial 🔥,2023-05-09,247818,330,May
239,AI For UpScaling Videos 🔥,2023-05-07,112840,94,May
240,How to Deploy a High Traffic Django Application using WSGI,2023-05-06,13161,112,May
241,Lets Build a Todos List App using Next.js 13 🔥,2023-05-05,33666,168,May
242,Google Says AI is Scary 💻,2023-05-04,300195,250,May
243,Get your Laptop Battery Report 💻,2023-05-02,143010,117,May
244,Windows PowerShell/Terminal Autocomplete,2023-05-01,99983,122,May
245,Using MongoDB with Flask Applications (Efficiently),2023-04-28,27332,240,Apr
246,Backend Average Salary 💰,2023-04-27,241980,197,Apr
247,How to use TailwindCSS with Python Flask?,2023-04-26,18907,148,Apr
248,Image Editing Website using Python Flask and OpenCV,2023-04-25,40698,184,Apr
249,Salary of a Frontend Developer 💵,2023-04-25,485461,413,Apr
250,VS Code Snippets Tutorial 👨‍💻,2023-04-21,164110,68,Apr
251,Elon Musk's Interview Question 🏪,2023-04-20,436182,198,Apr
252,Password generator in Python!,2023-04-15,341023,173,Apr
253,VS Code Mouse Wheel Trick 🔥,2023-04-15,118868,124,Apr
254,ChatGPT ❌,2023-04-14,176111,221,Apr
255,ChatGPT fooled a human!,2023-04-13,690963,491,Apr
256,How to Host Multiple Websites on a $5 Server (Step by Step Guide),2023-04-10,37057,315,Apr
257,Learn Web Development Fast!,2023-04-09,635584,2504,Apr
258,Exploring Requests Module in Python (Deepdive),2023-04-08,30548,193,Apr
259,5 Tricks of Google Search,2023-04-07,185932,105,Apr
260,Download More Ram 💻,2023-04-06,267537,1137,Apr
261,Quick and Easy Guide to Set up Your WordPress Blog in Minutes (Fastest Way),2023-04-06,34746,212,Apr
262,ChatGPT is Good for Jobs!,2023-04-05,145509,82,Apr
263,Aws Activate for Startups!,2023-04-04,120200,45,Apr
264,Fake Windows Update 💻,2023-03-30,191222,237,Mar
265,ChatGPT helped me create this KBC Quiz App (Watch me Build it),2023-03-29,70705,347,Mar
266,Fastest Way to Learn React in 2023 🔥,2023-03-28,510632,2137,Mar
267,"AWS Activate: A Program to Support Startups, Founders, & Entrepreneurs  | Amazon Web Services",2023-03-28,24886,119,Mar
268,Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,2023-03-25,839744,2064,Mar
269,Python vs JavaScript: Which one to Learn in 2023? (For Jobs),2023-03-18,444736,972,Mar
270,"Choosing the Right Python Web Framework: Django, Flask, or FastAPI?",2023-03-15,113378,335,Mar
271,What is a Graph Database? | Getting Started with Neo4j AuraDB: A Step-by-Step Tutorial 🔥,2023-03-14,30985,159,Mar
272,Free Office 365 on your Own Server (NextCloud Tutorial),2023-03-13,27366,115,Mar
273,Stop Saving Your Passwords like this (Use Passky Instead!),2023-03-12,25680,159,Mar
274,Install VS Code/FireFox like Apps on Ubuntu Server (Get 1GBPS Internet Speed for Free),2023-03-11,31794,160,Mar
275,I Created Discord like Calling App in 5 Minutes... (With Custom Domain),2023-03-10,35446,144,Mar
276,Docker Made Easy: Discover the Magic of Yacht,2023-03-08,22267,181,Mar
277,Conclusion and Where to go from here | Python Tutorial - Day #100,2023-03-07,178944,922,Mar
278,Exercise 11: Solution + Shoutouts - Desktop Notification System | Python Tutorial - Day #99,2023-03-06,56374,201,Mar
279,MultiProcessing in Python | Python Tutorial - Day #98,2023-03-05,55651,128,Mar
280,Multithreading in Python | Python Tutorial - Day #97,2023-03-04,65874,138,Mar
281,AsyncIO in Python | Python Tutorial - Day #96,2023-03-03,48690,145,Mar
282,Regular Expressions in Python | Python Tutorial - Day #95,2023-03-02,78349,112,Mar
283,Exercise 11 - Drink Water Reminder | Python Tutorial - Day #94,2023-03-01,33356,232,Mar
284,Exercise 10 - News App Solution & Shoutout | Python Tutorial - Day #93,2023-02-28,34890,107,Feb
285,SearX: The Private Search Engine You Need to Know About!,2023-02-28,81399,363,Feb
286,Function Caching in Python | Python Tutorial - Day #92,2023-02-27,33547,112,Feb
287,Generators in Python | Python Tutorial - Day #91,2023-02-26,48779,102,Feb
288,I Can Speak Like Shah Rukh Khan - Thanks to this AI 🔥,2023-02-26,498017,1943,Feb
289,Exercise 10: News App in Python | Python Tutorial - Day #90,2023-02-25,34724,92,Feb
290,Requests Module in Python | Python Tutorial - Day #89,2023-02-24,41264,141,Feb
291,Exercise 9: Solution - Shoutouts to Everyone | Python Tutorial - Day #88,2023-02-23,27009,149,Feb
292,Shutil Module in Python | Python Tutorial - Day #87,2023-02-22,38906,190,Feb
293,Walrus Operator in Python | Python Tutorial - Day #86,2023-02-21,36772,95,Feb
294,Look like a hacker (With this Trick) 🔥🔥,2023-02-21,1500125,493,Feb
